Date,Consensus Mean,Consensus High,Consensus Low,Actual,,,,
Feb-17-2021,5.64,6.67,4.7,5.45,,,,
Feb-18-2021,5.64,6.67,4.7,5.44,,,,
Feb-19-2021,5.64,6.67,4.7,5.39,,,,
Feb-20-2021,5.64,6.67,4.7,5.39,,,,
Feb-21-2021,5.64,6.67,4.7,5.39,,,,
Feb-22-2021,5.81,6.44,4.9,5.74,,,,
Feb-23-2021,5.81,6.44,4.9,5.73,,,,
Feb-24-2021,5.81,6.44,4.9,5.63,,,,
Feb-25-2021,5.81,6.44,4.9,5.65,,,,
Feb-26-2021,5.81,6.44,4.9,5.54,,,,
Feb-27-2021,5.81,6.44,4.9,5.54,,,,
Feb-28-2021,5.81,6.44,4.9,5.54,,,,
Mar-01-2021,5.81,6.44,4.9,5.6,,,,
Mar-02-2021,5.81,6.44,4.9,5.65,,,,
Mar-03-2021,5.81,6.44,4.9,5.7,,,,
Mar-04-2021,5.81,6.44,4.9,5.53,,,,
Mar-05-2021,5.81,6.44,4.9,5.43,,,,
Mar-06-2021,5.81,6.44,4.9,5.43,,,,
Mar-07-2021,5.81,6.44,4.9,5.43,,,,
Mar-08-2021,5.81,6.44,4.9,5.52,,,,
Mar-09-2021,5.81,6.44,4.9,5.55,,,,
Mar-10-2021,5.81,6.44,4.9,5.65,,,,
Mar-11-2021,5.81,6.44,4.9,5.67,,,,
Mar-12-2021,5.81,6.44,4.9,5.6,,,,
Mar-13-2021,5.81,6.44,4.9,5.6,,,,
Mar-14-2021,5.81,6.44,4.9,5.6,,,,
Mar-15-2021,5.81,6.44,4.9,5.61,,,,
Mar-16-2021,5.81,6.44,4.9,5.63,,,,
Mar-17-2021,5.81,6.44,4.9,5.45,,,,
Mar-18-2021,5.81,6.44,4.9,5.41,,,,
Mar-19-2021,5.81,6.44,4.9,5.46,,,,
Mar-20-2021,5.81,6.44,4.9,5.46,,,,
Mar-21-2021,5.78,6.44,4.9,5.46,,,,
Mar-22-2021,5.78,6.44,4.9,5.35,,,,
Mar-23-2021,5.78,6.44,4.9,5.31,,,,
Mar-24-2021,5.78,6.44,4.9,5.33,,,,
Mar-25-2021,5.78,6.44,4.9,5.34,,,,
Mar-26-2021,5.78,6.44,4.9,5.35,,,,
